date,platform,post_type,likes,shares,comments,views,,,,,,
13/10/2022,Twitter,video,665,690,232,6796,,,,,,
14/10/2022,Facebook,text,1498,689,362,8387,,,,,,
14/10/2022,Twitter,image,1419,131,414,8810,,,,,,
14/10/2022,Facebook,text,829,286,480,4131,,,,,,
14/10/2022,Facebook,video,627,812,385,8691,,,,,,
14/10/2022,Instagram,text,949,316,217,7760,,,,,,
14/10/2022,Facebook,image,1839,530,293,9667,,,,,,
15/10/2022,Instagram,video,2198,867,319,6823,,,,,,
15/10/2022,Twitter,image,1849,507,185,5816,,,,,,
15/10/2022,Twitter,text,2126,580,106,6650,,,,,,
15/10/2022,Facebook,image,2104,640,263,4077,,,,,,
15/10/2022,Twitter,text,1608,742,140,8036,,,,,,
15/10/2022,Twitter,video,481,488,146,4531,,,,,,
16/10/2022,Instagram,video,708,774,417,8055,,,,,,
16/10/2022,Facebook,video,578,228,296,8656,,,,,,
16/10/2022,Facebook,image,1386,667,423,8287,,,,,,
16/10/2022,Twitter,image,656,243,486,6251,,,,,,
16/10/2022,Twitter,text,1207,367,132,5559,,,,,,
16/10/2022,Instagram,text,1639,872,337,8755,,,,,,
17/10/2022,Facebook,text,1227,641,320,8679,,,,,,
17/10/2022,Facebook,image,1832,686,438,5704,,,,,,
17/10/2022,Twitter,image,2067,238,436,8121,,,,,,
17/10/2022,Facebook,text,1236,305,329,8595,,,,,,
17/10/2022,Instagram,text,1671,589,274,5616,,,,,,
17/10/2022,Twitter,video,1835,670,119,7783,,,,,,
17/10/2022,Facebook,video,600,551,136,7682,,,,,,
17/10/2022,Instagram,video,1307,328,415,9355,,,,,,
18/10/2022,Twitter,image,1184,348,500,4221,,,,,,
18/10/2022,Facebook,video,970,297,429,4430,,,,,,
19/10/2022,Instagram,video,1629,794,481,4784,,,,,,
19/10/2022,Twitter,text,1197,850,155,8959,,,,,,
19/10/2022,Facebook,video,1461,359,241,5644,,,,,,
19/10/2022,Facebook,text,1435,194,478,4387,,,,,,
19/10/2022,Instagram,text,1096,662,454,9274,,,,,,
19/10/2022,Twitter,video,1387,822,107,8228,,,,,,
20/10/2022,Instagram,text,1970,737,367,8536,,,,,,
20/10/2022,Twitter,text,1811,642,413,7738,,,,,,
20/10/2022,Twitter,video,2146,255,444,9596,,,,,,
21/10/2022,Twitter,image,576,447,419,6777,,,,,,
21/10/2022,Instagram,image,1121,763,189,4064,,,,,,
21/10/2022,Twitter,video,596,538,303,6550,,,,,,
21/10/2022,Twitter,video,623,415,149,9094,,,,,,
22/10/2022,Instagram,image,840,787,347,4377,,,,,,
22/10/2022,Facebook,text,953,853,377,4887,,,,,,
22/10/2022,Twitter,text,1312,590,165,9324,,,,,,
22/10/2022,Instagram,text,550,337,137,7455,,,,,,
22/10/2022,Twitter,text,808,162,334,4028,,,,,,
22/10/2022,Twitter,video,1328,805,410,6282,,,,,,
22/10/2022,Twitter,image,1456,781,484,9195,,,,,,
22/10/2022,Twitter,image,1103,444,267,9756,,,,,,
22/10/2022,Instagram,video,1559,898,139,9531,,,,,,
23/10/2022,Instagram,video,2027,889,413,5947,,,,,,
23/10/2022,Facebook,video,1871,881,337,5642,,,,,,
23/10/2022,Instagram,video,1144,428,283,6667,,,,,,
23/10/2022,Instagram,image,1948,801,416,6023,,,,,,
23/10/2022,Facebook,image,502,898,129,6521,,,,,,
23/10/2022,Facebook,video,1501,320,331,6778,,,,,,
24/10/2022,Instagram,image,1896,461,216,7535,,,,,,
24/10/2022,Twitter,text,1773,528,352,6754,,,,,,
24/10/2022,Instagram,video,911,209,401,8290,,,,,,
24/10/2022,Instagram,image,1049,456,203,4673,,,,,,
25/10/2022,Instagram,video,898,114,243,9011,,,,,,
25/10/2022,Twitter,text,1877,403,150,9291,,,,,,
25/10/2022,Instagram,text,565,670,199,5681,,,,,,
26/10/2022,Instagram,image,773,403,205,6136,,,,,,
26/10/2022,Instagram,text,2142,241,183,5550,,,,,,
26/10/2022,Facebook,image,867,491,252,8187,,,,,,
26/10/2022,Twitter,image,1837,806,199,6694,,,,,,
26/10/2022,Facebook,text,1140,680,439,7962,,,,,,
26/10/2022,Twitter,text,657,450,335,8418,,,,,,
26/10/2022,Instagram,video,1465,372,154,4446,,,,,,
26/10/2022,Facebook,video,1852,684,185,6223,,,,,,
26/10/2022,Instagram,video,2130,765,181,9787,,,,,,
27/10/2022,Facebook,image,1186,829,135,8335,,,,,,
27/10/2022,Instagram,video,494,382,176,8015,,,,,,
27/10/2022,Twitter,video,1740,296,491,5059,,,,,,
27/10/2022,Facebook,image,1072,348,284,5746,,,,,,
27/10/2022,Instagram,image,583,249,461,9463,,,,,,
27/10/2022,Facebook,image,1496,571,353,8760,,,,,,
27/10/2022,Instagram,video,881,350,217,8945,,,,,,
27/10/2022,Twitter,video,752,293,235,6609,,,,,,
28/10/2022,Facebook,video,515,433,423,7151,,,,,,
28/10/2022,Twitter,image,788,298,494,9537,,,,,,
28/10/2022,Instagram,image,2166,482,401,8331,,,,,,
28/10/2022,Instagram,image,546,390,190,9807,,,,,,
28/10/2022,Facebook,image,1577,341,145,5547,,,,,,
28/10/2022,Instagram,image,1620,220,487,4973,,,,,,
28/10/2022,Instagram,image,1212,664,220,6445,,,,,,
28/10/2022,Twitter,video,915,387,485,7739,,,,,,
28/10/2022,Facebook,image,753,618,227,8010,,,,,,
28/10/2022,Facebook,text,2078,825,452,4369,,,,,,
29/10/2022,Twitter,image,1660,470,374,6571,,,,,,
30/10/2022,Instagram,text,1694,523,310,8930,,,,,,
30/10/2022,Twitter,image,1370,882,207,5512,,,,,,
30/10/2022,Facebook,video,521,206,331,6284,,,,,,
30/10/2022,Twitter,video,954,501,211,4296,,,,,,
30/10/2022,Instagram,text,1451,737,140,6810,,,,,,
30/10/2022,Instagram,text,574,387,244,4954,,,,,,
30/10/2022,Twitter,video,1640,651,304,8268,,,,,,
30/10/2022,Instagram,image,1247,156,142,5743,,,,,,
30/10/2022,Twitter,video,1191,740,166,9044,,,,,,
30/10/2022,Instagram,video,1968,540,444,5172,,,,,,
31/10/2022,Instagram,video,1065,863,388,8486,,,,,,
31/10/2022,Instagram,video,594,696,388,7916,,,,,,
31/10/2022,Instagram,image,694,511,179,8805,,,,,,
31/10/2022,Instagram,video,485,663,236,9927,,,,,,
31/10/2022,Twitter,text,579,308,230,6120,,,,,,
31/10/2022,Facebook,video,1947,813,310,5268,,,,,,
31/10/2022,Twitter,image,950,880,463,6306,,,,,,
31/10/2022,Twitter,video,1996,523,279,7796,,,,,,
01/11/2022,Facebook,video,833,118,473,5393,,,,,,
01/11/2022,Instagram,text,1471,255,364,5177,,,,,,
01/11/2022,Instagram,image,995,663,500,7034,,,,,,
02/11/2022,Facebook,image,1888,803,247,7962,,,,,,
02/11/2022,Instagram,image,454,877,103,5012,,,,,,
02/11/2022,Instagram,text,1394,688,383,6236,,,,,,
02/11/2022,Instagram,image,1435,546,325,8579,,,,,,
02/11/2022,Facebook,text,1155,417,327,7616,,,,,,
02/11/2022,Twitter,image,1136,228,227,8137,,,,,,
03/11/2022,Facebook,video,896,206,384,6887,,,,,,
03/11/2022,Instagram,text,1630,627,399,6347,,,,,,
03/11/2022,Twitter,video,1932,355,117,4545,,,,,,
03/11/2022,Facebook,video,1921,577,374,4956,,,,,,
03/11/2022,Instagram,image,1394,635,431,9486,,,,,,
04/11/2022,Facebook,image,2124,427,197,9802,,,,,,
04/11/2022,Twitter,text,1832,436,101,5109,,,,,,
04/11/2022,Twitter,image,792,214,254,6429,,,,,,
04/11/2022,Facebook,text,495,634,403,9970,,,,,,
04/11/2022,Twitter,video,691,388,284,6791,,,,,,
04/11/2022,Facebook,video,751,893,415,4968,,,,,,
04/11/2022,Twitter,text,1224,351,432,9529,,,,,,
05/11/2022,Facebook,image,1182,733,389,4684,,,,,,
05/11/2022,Facebook,image,2084,548,448,8178,,,,,,
06/11/2022,Instagram,video,1445,212,326,5583,,,,,,
